Resort_ID,Resort_Name,Continent,Country,State_Province,Latitude,Longitude,Country_Code
243,hinterfeld-moesern-telfs,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
244,hinterreit-saalfelden-am-steinernen-meer,Europe,Austria,Salzburg (Salzburger Land),47.516231,14.550072,AT
245,hirnkopf-flattnitz-gloednitz,Europe,Austria,Carinthia (Karnten),47.516231,14.550072,AT
246,hittisberg-hittisau,Europe,Austria,Vorarlberg,47.516231,14.550072,AT
247,hochbaerneck-st-anton-an-der-jessnitz,Europe,Austria,Lower Austria (Niederosterreich),47.516231,14.550072,AT
248,hochhaederich-hittisau,Europe,Austria,Vorarlberg,47.516231,14.550072,AT
249,hochkeil-am-hochkoenig,Europe,Austria,Salzburg (Salzburger Land),47.516231,14.550072,AT
250,hochlecken-neukirchen-altmuenster,Europe,Austria,Upper Austria (Oberosterreich),47.516231,14.550072,AT
251,hochlitten-riefensberg,Europe,Austria,Vorarlberg,47.516231,14.550072,AT
252,hochmoos-leutasch,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
253,hochplett-oberaschau,Europe,Austria,Upper Austria (Oberosterreich),47.516231,14.550072,AT
254,hochrindl-sirnitz,Europe,Austria,Carinthia (Karnten),47.516231,14.550072,AT
255,hochwechsellifts-moenichwald,Europe,Austria,Styria (Steiermark),47.516231,14.550072,AT
256,hohentauern,Europe,Austria,Styria (Steiermark),47.516231,14.550072,AT
257,hohenzellerstrasse-ried-im-innkreis,Europe,Austria,Upper Austria (Oberosterreich),47.516231,14.550072,AT
258,hoislifts-modriach-edelschrott,Europe,Austria,Styria (Steiermark),47.516231,14.550072,AT
259,holzmeisterlifts-sommeralm-st-kathrein-am-offenegg,Europe,Austria,Styria (Steiermark),47.516231,14.550072,AT
260,hotz-oberweng-spital-am-pyhrn,Europe,Austria,Upper Austria (Oberosterreich),47.516231,14.550072,AT
261,hrastlift-feistritz-an-der-gail,Europe,Austria,Carinthia (Karnten),47.516231,14.550072,AT
262,huettegglift-weerberg,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
263,huetten-bizau,Europe,Austria,Vorarlberg,47.516231,14.550072,AT
264,jauerling-maria-laach-am-jauerling,Europe,Austria,Lower Austria (Niederosterreich),47.516231,14.550072,AT
265,johnsbach-admont,Europe,Austria,Styria (Steiermark),47.516231,14.550072,AT
266,josefsberg-mitterbach-am-erlaufsee,Europe,Austria,Lower Austria (Niederosterreich),47.516231,14.550072,AT
267,kaiserau-admont,Europe,Austria,Styria (Steiermark),47.516231,14.550072,AT
268,kaiserlindenlift-gams-bei-hieflau,Europe,Austria,Styria (Steiermark),47.516231,14.550072,AT
269,kaisers,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
270,karlift-heiterwang,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
271,katschwald-obdach,Europe,Austria,Styria (Steiermark),47.516231,14.550072,AT
272,kesselmannlifte-faistenau,Europe,Austria,Salzburg (Salzburger Land),47.516231,14.550072,AT
273,kienleitenlift-brandenberg,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
274,kinzenberg-taiskirchen-im-innkreis,Europe,Austria,Upper Austria (Oberosterreich),47.516231,14.550072,AT
275,kirchbach-rappottenstein,Europe,Austria,Lower Austria (Niederosterreich),47.516231,14.550072,AT
276,kirchdorf,Europe,Austria,Tyrol (Tirol),47.516231,14.550072,AT
277,kirchdorflift-doren,Europe,Austria,Vorarlberg,47.516231,14.550072,AT
